198.235.24.18 - - [22/Dec/2024:00:01:05 -0500] "GET / HTTP/1.1" 200 508
134.231.167.118 - - [22/Dec/2024:00:26:35 -0500] "GET /elogNew/javax.faces.resource/js/swipe.js.jsf?ln=ultima-layout HTTP/1.1" 304 -
134.231.167.118 - - [22/Dec/2024:00:26:35 -0500] "GET /elogNew/javax.faces.resource/images/avatar4.png.jsf?ln=ultima-layout HTTP/1.1" 304 -
134.231.167.118 - - [22/Dec/2024:00:26:35 -0500] "GET /elogNew/javax.faces.resource/demo/images/ajaxloadingbar.gif.jsf HTTP/1.1" 304 -
134.231.167.118 - - [22/Dec/2024:00:26:37 -0500] "GET /elogNew/javax.faces.resource/images/dfyoung-spon1.jpg.jsf?ln=ultima-layout HTTP/1.1" 304 -
134.231.167.118 - - [22/Dec/2024:00:26:37 -0500] "GET /elogNew/javax.faces.resource/images/logo.png.jsf?ln=ultima-layout HTTP/1.1" 304 -
134.231.167.118 - - [22/Dec/2024:00:26:37 -0500] "GET /elogNew/javax.faces.resource/images/profile-gm.png.jsf?ln=ultima-layout HTTP/1.1" 304 -
134.231.167.118 - - [22/Dec/2024:00:26:37 -0500] "GET /elogNew/javax.faces.resource/fonts/MaterialIcons-Regular.woff2.jsf?ln=ultima-layout HTTP/1.1" 304 -
134.231.167.118 - - [22/Dec/2024:00:26:37 -0500] "GET /elogNew/javax.faces.resource/fonts/roboto-v15-latin-regular.woff2.jsf?ln=ultima-layout HTTP/1.1" 304 -
134.231.167.118 - - [22/Dec/2024:00:26:37 -0500] "GET /elogNew/javax.faces.resource/fonts/roboto-v15-latin-700.woff2.jsf?ln=ultima-layout HTTP/1.1" 304 -
168.187.173.27 - - [22/Dec/2024:00:28:09 -0500] "GET /elogNew/ HTTP/1.1" 200 5043
168.187.173.27 - - [22/Dec/2024:00:28:10 -0500] "GET /elogNew/ HTTP/1.1" 200 5045
168.187.173.27 - - [22/Dec/2024:00:28:10 -0500] "GET /elogNew/javax.faces.resource/theme.css.jsf?ln=primefaces-ultima-indigo HTTP/1.1" 304 -
168.187.173.27 - - [22/Dec/2024:00:28:10 -0500] "GET /elogNew/javax.faces.resource/components.css.jsf;jsessionid=7D013FBF77EC15F8A0C65413F69E39CB?ln=primefaces&v=6.0 HTTP/1.1" 200 75308
168.187.173.27 - - [22/Dec/2024:00:28:10 -0500] "GET /elogNew/javax.faces.resource/css/ripple.css.jsf;jsessionid=7D013FBF77EC15F8A0C65413F69E39CB?ln=ultima-layout HTTP/1.1" 200 1163
168.187.173.27 - - [22/Dec/2024:00:28:10 -0500] "GET /elogNew/javax.faces.resource/css/layout-indigo.css.jsf;jsessionid=7D013FBF77EC15F8A0C65413F69E39CB?ln=ultima-layout HTTP/1.1" 200 77882
168.187.173.27 - - [22/Dec/2024:00:28:10 -0500] "GET /elogNew/javax.faces.resource/fa/font-awesome.css.jsf?ln=primefaces&v=6.0 HTTP/1.1" 304 -
168.187.173.27 - - [22/Dec/2024:00:28:10 -0500] "GET /elogNew/javax.faces.resource/jquery/jquery.js.jsf;jsessionid=7D013FBF77EC15F8A0C65413F69E39CB?ln=primefaces&v=6.0 HTTP/1.1" 200 107669
168.187.173.27 - - [22/Dec/2024:00:28:10 -0500] "GET /elogNew/javax.faces.resource/core.js.jsf;jsessionid=7D013FBF77EC15F8A0C65413F69E39CB?ln=primefaces&v=6.0 HTTP/1.1" 200 30517
168.187.173.27 - - [22/Dec/2024:00:28:11 -0500] "GET /elogNew/javax.faces.resource/components.js.jsf;jsessionid=7D013FBF77EC15F8A0C65413F69E39CB?ln=primefaces&v=6.0 HTTP/1.1" 200 357434
168.187.173.27 - - [22/Dec/2024:00:28:11 -0500] "GET /elogNew/javax.faces.resource/js/ripple.js.jsf;jsessionid=7D013FBF77EC15F8A0C65413F69E39CB?ln=ultima-layout HTTP/1.1" 200 1130
168.187.173.27 - - [22/Dec/2024:00:28:11 -0500] "GET /elogNew/javax.faces.resource/jquery/jquery-plugins.js.jsf;jsessionid=7D013FBF77EC15F8A0C65413F69E39CB?ln=primefaces&v=6.0 HTTP/1.1" 200 245552
168.187.173.27 - - [22/Dec/2024:00:28:11 -0500] "GET /elogNew/javax.faces.resource/js/layout.js.jsf;jsessionid=7D013FBF77EC15F8A0C65413F69E39CB?ln=ultima-layout HTTP/1.1" 200 21901
168.187.173.27 - - [22/Dec/2024:00:28:11 -0500] "GET /elogNew/javax.faces.resource/images/logo1.png.jsf;jsessionid=7D013FBF77EC15F8A0C65413F69E39CB?ln=ultima-layout HTTP/1.1" 200 46714
168.187.173.27 - - [22/Dec/2024:00:28:11 -0500] "GET /elogNew/javax.faces.resource/images/dfylogo.png.jsf;jsessionid=7D013FBF77EC15F8A0C65413F69E39CB?ln=ultima-layout HTTP/1.1" 200 4364
168.187.173.27 - - [22/Dec/2024:00:28:12 -0500] "GET /elogNew/javax.faces.resource/images/login/gm-login.png.jsf?ln=ultima-layout HTTP/1.1" 304 -
168.187.173.27 - - [22/Dec/2024:00:28:12 -0500] "GET /elogNew/javax.faces.resource/fonts/roboto-v15-latin-700.woff2.jsf?ln=ultima-layout HTTP/1.1" 304 -
168.187.173.27 - - [22/Dec/2024:00:28:12 -0500] "GET /elogNew/javax.faces.resource/fonts/roboto-v15-latin-regular.woff2.jsf?ln=ultima-layout HTTP/1.1" 304 -
168.187.173.27 - - [22/Dec/2024:00:28:12 -0500] "GET /elogNew/javax.faces.resource/fonts/MaterialIcons-Regular.woff2.jsf?ln=ultima-layout HTTP/1.1" 304 -
168.187.173.27 - - [22/Dec/2024:00:28:13 -0500] "POST /elogNew/ui/login.jsf;jsessionid=7D013FBF77EC15F8A0C65413F69E39CB HTTP/1.1" 302 -
168.187.173.27 - - [22/Dec/2024:00:28:14 -0500] "GET /elogNew/ui/vehicle/vehicle-query.jsf HTTP/1.1" 200 16399
168.187.173.27 - - [22/Dec/2024:00:28:14 -0500] "GET /elogNew/javax.faces.resource/theme.css.jsf?ln=primefaces-ultima-indigo HTTP/1.1" 304 -
168.187.173.27 - - [22/Dec/2024:00:28:14 -0500] "GET /elogNew/javax.faces.resource/fa/font-awesome.css.jsf?ln=primefaces&v=6.0 HTTP/1.1" 304 -
168.187.173.27 - - [22/Dec/2024:00:28:14 -0500] "GET /elogNew/javax.faces.resource/components.css.jsf?ln=primefaces&v=6.0 HTTP/1.1" 304 -
168.187.173.27 - - [22/Dec/2024:00:28:14 -0500] "GET /elogNew/javax.faces.resource/core.js.jsf?ln=primefaces&v=6.0 HTTP/1.1" 304 -
168.187.173.27 - - [22/Dec/2024:00:28:14 -0500] "GET /elogNew/javax.faces.resource/jquery/jquery.js.jsf?ln=primefaces&v=6.0 HTTP/1.1" 304 -
168.187.173.27 - - [22/Dec/2024:00:28:14 -0500] "GET /elogNew/javax.faces.resource/jquery/jquery-plugins.js.jsf?ln=primefaces&v=6.0 HTTP/1.1" 304 -
168.187.173.27 - - [22/Dec/2024:00:28:14 -0500] "GET /elogNew/javax.faces.resource/css/nanoscroller.css.jsf?ln=ultima-layout HTTP/1.1" 304 -
168.187.173.27 - - [22/Dec/2024:00:28:14 -0500] "GET /elogNew/javax.faces.resource/css/layout-indigo.css.jsf?ln=ultima-layout HTTP/1.1" 304 -
168.187.173.27 - - [22/Dec/2024:00:28:14 -0500] "GET /elogNew/javax.faces.resource/css/animate.css.jsf?ln=ultima-layout HTTP/1.1" 304 -
168.187.173.27 - - [22/Dec/2024:00:28:14 -0500] "GET /elogNew/javax.faces.resource/css/ripple.css.jsf?ln=ultima-layout HTTP/1.1" 304 -
168.187.173.27 - - [22/Dec/2024:00:28:14 -0500] "GET /elogNew/javax.faces.resource/components.js.jsf?ln=primefaces&v=6.0 HTTP/1.1" 304 -
168.187.173.27 - - [22/Dec/2024:00:28:14 -0500] "GET /elogNew/javax.faces.resource/js/nanoscroller.js.jsf?ln=ultima-layout HTTP/1.1" 304 -
168.187.173.27 - - [22/Dec/2024:00:28:14 -0500] "GET /elogNew/javax.faces.resource/js/ripple.js.jsf?ln=ultima-layout HTTP/1.1" 304 -
168.187.173.27 - - [22/Dec/2024:00:28:14 -0500] "GET /elogNew/javax.faces.resource/js/layout.js.jsf?ln=ultima-layout HTTP/1.1" 304 -
168.187.173.27 - - [22/Dec/2024:00:28:14 -0500] "GET /elogNew/javax.faces.resource/js/swipe.js.jsf?ln=ultima-layout HTTP/1.1" 304 -
168.187.173.27 - - [22/Dec/2024:00:28:14 -0500] "GET /elogNew/javax.faces.resource/images/avatar4.png.jsf?ln=ultima-layout HTTP/1.1" 304 -
168.187.173.27 - - [22/Dec/2024:00:28:14 -0500] "GET /elogNew/javax.faces.resource/images/dfyoung-spon1.jpg.jsf?ln=ultima-layout HTTP/1.1" 304 -
168.187.173.27 - - [22/Dec/2024:00:28:15 -0500] "GET /elogNew/javax.faces.resource/fonts/roboto-v15-latin-regular.woff2.jsf?ln=ultima-layout HTTP/1.1" 304 -
168.187.173.27 - - [22/Dec/2024:00:28:15 -0500] "GET /elogNew/javax.faces.resource/images/logo.png.jsf?ln=ultima-layout HTTP/1.1" 304 -
168.187.173.27 - - [22/Dec/2024:00:28:15 -0500] "GET /elogNew/javax.faces.resource/images/profile-gm.png.jsf?ln=ultima-layout HTTP/1.1" 304 -
168.187.173.27 - - [22/Dec/2024:00:28:15 -0500] "GET /elogNew/javax.faces.resource/fonts/MaterialIcons-Regular.woff2.jsf?ln=ultima-layout HTTP/1.1" 304 -
168.187.173.27 - - [22/Dec/2024:00:28:15 -0500] "GET /elogNew/javax.faces.resource/fonts/roboto-v15-latin-700.woff2.jsf?ln=ultima-layout HTTP/1.1" 304 -
168.187.173.27 - - [22/Dec/2024:00:28:15 -0500] "GET /elogNew/javax.faces.resource/fa/fontawesome-webfont.woff2.jsf?ln=primefaces&v=6.0?v=4.6.1 HTTP/1.1" 304 -
